name,id,office,position,professionGroup,uah,usd,gbp,eur,total,region
Гутенко Денис Вікторович,3e02d75f-ccf7-479f-b1d5-fdbb084532fb,Міністерство економічного розвитку і торгівлі Украіни,Директор департамента регулювання зовнішньоекономічної діяльності,ministerstvo,83961,137000,,2500,142954,
Гуц Володимир Вікторович,3bad9426-b683-40d3-aece-cad3f9b00ae6,луганська обласна державна адміністрація,заступник голови,,11836176,60570,,735,516608,Луганськ
Давиденко Вадим Васильович,5b9a57d0-d0cd-4090-8d37-f45bba147e25,ГУ ДФС у Чернігівській області,Заступник начальника управління - начальник першого відділу кримінальних розслідувань слідчого управління фінансових розслідувань ,slidchi,150000,49971,,,55740,
Давиденко Валерій Миколайович,342592b8-a987-429c-abf9-b32aafb6967b,Верховна Рада України,Народний депутат України,deputat,5169000,2441000,,,2639807,
Давидов Сергій Дмитрович,30eef6da-b46d-463a-9c83-31739e999251,Костянтинівська міська рада,Міський голова,golova,26461,165000,,,166017,
Давтян Дмитро Олександрович,14e3086f-417b-4011-a6a3-d7137fe51865,ЗАПОРІЗЬКА ОБЛАСНА ДЕРЖАВНА АДМІНІСТРАЦІЯ,ПЕРШИЙ ЗАСТУПНИК ГОЛОВИ ЗАПОРІЗЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,golova,20170189,1127295,,4902010,7246262,Запоріжжя
Данилюк Олександр Олександрович,ceb427b8-b5fb-4d12-aab3-7577ad6eedec,Міністерство Фінансів,Міністр,ministerstvo,4293,209243,36660,,253400,
Данилюк Ольга Станіславівна,5a7f2ad9-ea37-41c8-9c76-10e909fdec6d,Ленінський районний суд міста Донецька,суддя,suddia,300000,175000,,,186538,Донецьк
Данченко Олександр Іванович,56df8f4b-faea-4f69-93ae-ee914dad2699,Верховна Рада України,"Народний депутат України, Голова комітету з питать інформатизації та звязку",deputat,5577819,969228,,1,1183760,
Дарчук Сергій Сергійович,2a78330b-8bd2-4182-99a6-138c627ce2a5,слідче управління фінансових розслідувань ДПІ у Печерському районі ГУ ДФС у м. Києві,слідчий СУ ФР ДПІ у Печерському районі ГУ ДФС у м. Києві,slidchi,,55000,,,55000,
Дегтярьова Світлана Володимирівна,66c31344-0292-4e32-805f-15b8a1c6bd87,Кіровоградський окружний адміністративний суд,суддя,suddia,9473953,,,,364382,Кіровоград
Демчак Руслан Євгенійович,64dec664-0c55-44b5-a8c7-f487abdce147,Верховна Рада України,Заступник голови Комітету Верховної Ради України з питань фінансової політики і банківської діяльності.,deputat,133002736,,386,,5115953,
Демчук Андрій Васильович,10116053-4c85-4117-a7b6-f7c328ec8a01,Міністерство економічного розвитку і торгівлі України,Директор департаменту залучення інвестицій,ministerstvo,,350000,,,350000,
Денисенко Анатолій Петрович,98483528-a8aa-4639-b017-f6079b544836,Верховна Рада України,"Народний депутат, Голова підкомітету з питань приватизації державного і комунального майна, націоналізації, реприватизації, банкрутства, застави, лізингу, концесії, оренди, розподілу продукції, управління майном, що перебуває у державній та комунальній власності Комітету Верховної Ради України з питань економічної політики",deputat,25109942,1361846,469,915150,3325689,
Денисюк Денис Станіславович,184a8c29-7413-476b-b7c1-2b65539c8c18,Спеціалізована державна податкова інспекция з обслуговування великіх платніків у м. Одесі МГУ ДФС,Заступник начальника,inspector,2112578,227,,7437,89586,Одеса
Денисюк Тетяна Станиславівна,dbe0e7c3-7f07-4e09-bd4a-2bec9ab88551,Господарський суд Харківської області,Суддя,suddia,2662631,300150,,100,402667,Харків
Дерев’янко Юрій Богданович,31019257-678f-437d-b9b0-1c00706e0b00,Верховна Рада України,"Народний депутат України, Голова підкомітету",deputat,3741687,14447000,,1583000,16316381,
Джапарова Еміне Айяровна,aab7cbdd-1c75-4ce1-b305-15b94caff80e,Міністерство інформаційної політики України,Перший заступник Міністра,ministerstvo,,172450,,,172450,
Джарти Вікторія Василівна,3bc4e70f-e0e9-42b9-a329-b637d8e16080,Господарський суд міста Києва ,суддя,suddia,4062313,816727,,249427,1244845,
Диба Михайло Іванович,0834c5ae-6f60-4585-ae8d-989c0a344d30,Державна фінансова інспекція у Львівській області,Начальник Державної фінансової інспекції у Львівській області,inspector,950000,,,,36538,Львів
Діденко Ігор Миколайович,bc0c9c75-3965-41fa-92ac-da890905f33f,Міністерство енергетики та вугільної промисловості України,Заступник Міністра енергетики та вугільної промисловості України,ministerstvo,8240325,6990000,,1005000,8402385,
Дідур Арсен Володимирович,60d569d2-0d79-481d-be61-883cb60185f8,Чернігівська обласна рада,Заступник голови обласної ради ,golova,20000,180000,,,180769,
Дмитрієв Анатолій Анатолійович,a203bab0-0080-4a0c-a6a1-d2bbffeb43be,національна поліція України,радник Голови Національної поліції України управління забезпечення діяльності Голови Національної поліції України,slidchi,1067640,,,,41063,
Добкін Дмитро Маркович,7018cca3-713f-4d6b-bb3e-5e53e1e452d0,Верховна Рада України,Народний депутат України,deputat,10163054,520454,,,911340,
Добкін Михайло Маркович,489aab75-a063-4bf5-a8d4-140d42ccf788,Верховна Рада України,Народний депутат України,deputat,12000000,1070000,,850000,2458038,
Доброжан Андрій Іванович,8860df4e-1f4a-4b35-b2b4-494d3f6f97f2,Прокуратура Одеської області,прокурор відділу нагляду за додержанням законів теторіальними органами поліції при провадженні досудового розслідування та підтриманням державного обвинувачення управління нагляду у кримінальному провадженні прокуратури Одеської області,prokuratura,,400000,,,400000,Одеса
Довгань Віктор Миколайович,e2c3b5c6-89f1-46d4-a99a-96868c559b5f,заступник Міністра інфраструктури з питань європейської інтеграції,заступник Міністра інфраструктури з питань європейської інтеграції,ministerstvo,505924,85340,,15000,121148,
Довгий Олесь Станіславович,a608ea57-5c22-4f23-b800-e011a33f7b2d,Верховна рада України,Народний депутат України,deputat,15649502,1529508,35000,582642,2808491,
Долгов Ігор Олексійович,2e5fb26d-e9ca-414e-8697-cd7f0f55070b,Міністерство оборони України,Заступник Міністра оборони України з питань європейської інтеграції,ministerstvo,200000,95005,,32000,137577,
Домбровський Олександр Георгійович,e498ff96-589e-4ef1-b999-8ebe7d39928d,Верховна Рада України,народний депутат України,deputat,855446,450000,,100000,591901,
ДОМНІЦАК РУСЛАН ВОЛОДИМИРОВИЧ,b6f41d94-ee44-4ef7-871c-38b9c0159f75,Головне управління Національної поліції у Львівській області,заступник начальника -начальник кримінальної поліції,slidchi,782000,10000,,9300,50213,Львів
Донець Тетяна Анатоліївна,cb4e6280-c840-44e2-8372-e82c62c8352e,Верховна Рада України,"Народний депутат України, заступник голови Комітету з питань охорони здоров""я",deputat,750965,4537245,,212339,4797577,
Допіряк Петро Васильович,a4e6f1e7-8541-4f6c-b88c-967176808fe0,Хотинська районна державна адміністрація Чернівецької області,Голова Хотинської районної державної адміністрації Чернівецької області,golova,800000,640000,,122500,804294,Чернівці
Дорошенко Геннадій Володимирович,ee904a39-704c-4362-9869-8ae7e768a425,Сумська районна державна адміністація Сумської області,Голова Сумської районної державної адміністації Сумської області,,3180000,497000,,,619307,Суми
Доценко Тетяна Анатоліївна,0f26c02f-bc67-466e-b3a0-554ab00d2df0,ДПІ в Оболонському районі ГУ ДФС у м. Києві ,заступник начальника інспекції,inspector,30646,143000,,,144178,
Драган Олена Василівна,5df84b2f-6f44-4497-800c-581a3ca8b8ab,Генеральна прокуратура України,Заступник начальника Департаменту ,prokuratura,180000,150000,,10000,167823,
Дроздов Олександр Іванович,53775f12-074f-442d-917a-302faf3a7531,Міністерство внутрішніх справ. Відділ аналізу діяльності та координації управління формування політики щодо діяльності Національної поліції Департаменту формування політики щодо підконтрольних Міністрові органів влади та моніторингу МВС,Заступник начальника відділу,ministerstvo,210454,77000,,12000,98174,
Дубіль Валерій Олександрович,16347122-b735-4034-8f96-2b1e1035d3e6,Верховна Рада України,народний депутат України,deputat,160000,210000,,295000,537703,
Дубінін Олександр Іванович,a44813f6-799b-4e64-b4e8-7ab0e7d41214,Верховна Рада України,"Народний депутат України, Голова підкомітету з питань промислової та інвестиційної політики Комітету Верховної Ради України з питань промислової політики та підприємництва",deputat,14709210,178000,,8000,752458,
ДУБНЕВИЧ БОГДАН ВАСИЛЬОВИЧ,d3b0384c-32ac-4511-b6c7-c1f167660b3d,Верховна Рада України,Народний депутат України,deputat,130274,17307008,,,17312018,
ДУБНЕВИЧ ЯРОСЛАВ ВАСИЛЬОВИЧ,aeb90318-f301-4613-8ec2-b562ac8850ed,Верховна рада України,народний депутат України,deputat,7792693,8960000,,3060000,12595118,
Дуран Іван Петрович,157bab4f-fd3d-4f39-990b-d555bb6b7015,Закарпатська обласна державна адміністрація,Перший заступник голови Закарпатської обласної державної адміністрації ,golova,,,,400000,436000,Закарпаття
Дух Ярослав Михайлович,75d23ae8-13fe-4b41-92ad-0aea842abc01,Національне антикорупційне бюро України,детектив,slidchi,200000,21000,,2600,31526,
Дьомін Олег Олексійович,c7fe8a00-b600-40c4-b802-93f159d1845d,"Миіністерство закордонних справ України, Посольство України в КНР",Посол України в КНР,,1179810,860853,,689774,1658083,
Епель Оксана Володимирівна,1369de59-3ca2-4f2e-b817-b3e88f118d5a,Київський апеляційний адміністративний суд,Суддя,suddia,1814431,329644,1,,399431,Київ
Євлахов Анатолій Сергійович,576c2ee9-b4c5-47aa-93bf-0de2d72f6311,Верховна Рада України,народний депутат України,deputat,1726227,1025789,,461000,1594672,
Євсіков Олексій Олександрович,2bb3557b-1806-467c-9a58-aa5bc7a928d9,Вищий господарський суд України,суддя,suddia,4171620,30000,,5000,195896,
Єгізаров Роман Альбертович,53d2547b-4bba-4162-828c-5aafe8750ec9,Національне антикорупційне бюро України,старший детектив - заступник керівника відділу,slidchi,484908,4000,,3773,26762,
Єгупенко Владислав Вадимович,5609a4a4-8db6-4751-bcb6-f490362b3262,Харківський окружний адміністративний суд,суддя,suddia,993186,102862,,1,141062,Харків
Єзерський Дмитро Олександрович,206819a7-16d6-4239-830a-385af01133a3,ГУ ДФС у м. Києві ,слідчий ,slidchi,,53000,,,53000,
Єльникова Алла Петрівна,ac8c59c9-cab5-4b74-ad44-2c03053b7ecd,Добропільська ОДПІ ГУ ДФС у Донецькій області,начальник інспекції,inspector,291356,9100,,2500,23031,Донецьк
Ємельянов Артур Станіславович,0abbe0d6-7033-4c8b-9874-1e2f2d9dbb0b,Вищий господарський суд України,суддя,suddia,2740000,180000,,70000,361684,
Єнін Євгеній Володимирович,7e643b51-2bb7-48ca-bc94-f4eff31ca3d4,Генеральна прокуратура України,Заступник Генерального прокурора,prokuratura,42897,92000,,127000,232079,
Єреп Олексій Григорович,26936ede-f3ba-416c-9e50-a835b82d10fc,Управління привентивної діяльності ГУ НП в Київській області,Начальник відділу ЗБДР,,,481900,,,481900,Київ
Єрмоленко Дмитро Дмитрович,407f5b69-57b1-4e5c-926e-7f9c6a720bd6,прокурор Іллічівської місцевої прокуратури Одеської області,прокурор Іллічівської місцевої прокуратури Одеської області,prokuratura,2700000,85000,,,188846,Одеса
Єфіменко Сергій Миколайович,5c35983b-587b-4721-b939-500e851a1af5,Державна фінансова інспекція в м. Києві,Начальник,inspector,800000,105321,,25357,163729,
Єфімов Максим Вікторович,68b3d4b9-411c-48f6-b8af-f3084b5b7549,Верховна Рада,Народний депутат України,deputat,12226294,5000000,,,5470242,
Жебрівський Павло Іванович,2083343e-6127-4e02-b608-fed4d970e03f,"Донецька обласна державна адміністрація, обласна військово-цивільна адміністрація","голова Донецької облдержадміністрації, керівник обласної військово-цивільної адміністрації",golova,,100000,,65000,170850,Донецьк
Жук Сергій Володимирович,327a215c-e810-4110-a74c-e5c18f7f33ad,Державна екологічна інспекція у Київській області,Заступник начальника відділу,inspector,860000,,,,33076,Київ
Журавський Віталій Станіславович,95f8618b-b61c-4d45-9ffe-2fbb6b55c2b1,Інститут законодавства Верховної Ради України,Завідувач відділу комлексних проблем державотворення ,,,989780,,8740,999306,
Забара Володимир Ілліч,58857791-2f3b-4f1a-b189-42d875b0c1ff,Чернігівська митниця ДФС,Заступник начальника митного поста ,,18916,480055,,,480782,
Заблоцький Юрій Павлович,012f8628-1a45-4a65-aa83-a97fef450602,Міністерство внутрішніх справ,Заступник начальника відділу ,ministerstvo,12826,48200,,61933,116200,
Заболоцький Ігор Олександрович,bbb775b1-204a-467e-940e-e096c314ac18,Секретаріат Кабінету Міністрів України,"заступник директора департамента інформаційних технологій, завідуючий відділом з питань інформаційної безпеки та розвитку інформаційного суспільства",ministerstvo,,190000,,,190000,
Завадецький Олександр Олександрович,5e1b7821-f83d-4804-8348-3867c5b78d9c,Національний банк України,Директор департаменту,,,850067,,,850067,
Загорій Гліб Володимирович,b2d59ef3-4f37-4ddf-a05e-91d6a4e0f59d,Верховна Рада України,народний депутат України,deputat,60686539,3325000,,550000,6258597,
Загороднюк Андрій Григорович,1e0bd059-c7ae-4df2-a07e-d94cc49e7f69,Вінницький апеляційний адміністративний суд,Суддя,suddia,1240000,50000,,26000,126032,Вінниця
Задорожна Анна Володимирівна,c96ffac5-8811-4ee4-a0aa-5b1ce0aed24e,Прокуратура міста Києва,прокурор Київської місцевої прокуратури №8,prokuratura,311040,26000,,46500,88648,Київ
Задорожний Олександр Володимирович,d950632e-c614-4b93-83be-3a1d2251f2b6,Прокуратура Київської області,"Прокурор відділу нагляду за додержанням законів органами, які ведуть боротьбу з організованою злочинністю управління нагляду у кримінальному провадженні",prokuratura,182304,67005,,54000,132876,Київ
Заїка Андрій Миколайович,92128cef-3c8c-4cd3-814a-f1ceb976e7a3,Державна екологічна інспекція України,Голова,inspector,16392202,751996,,343000,1756335,
Заморський Олег Володимирович,eaa1c68b-c32c-4b73-b20f-149f2ccfb91e,Національний банк України,Директор юридичного департаменту,,10590180,96357,,,503671,
Запорожцев Віктор Аркадійович,302ebe24-1b83-411d-a9ca-9a9654f9decc,Головне управління Національної поліції у місті Києві,слідчий,slidchi,900000,,,,34615,
Заставний Юрій Богданович,62a9b601-dfd4-4cf9-a91e-a0d4fcd8d1ab,Державна інспекція сільського господарства України,перший заступник Голови,golova,1361000,326257,,,378603,
Заяць Костянтин Дмитрович,110bfc20-9f6d-4f69-adc9-2a12e2e94ba7,Головне управління Національної поліції в Харківській області,старший слідчий ,slidchi,240000,25000,,,34230,Харків
Звіздовський Ігор Михайлович,073dd0ba-6d2a-463c-a7d0-240e17914b85,Міністерство молоді та спорту України,Керівник патронатної служби,ministerstvo,,90000,,8000,98720,
Звягільський Юхим Леонідович,80106013-b0ae-45c6-bbac-eaf2812f1072,Верховна Рада України,"Народний депутат України, член Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",deputat,70975435,1590745,,190129,4527810,
Зеркаль Олена Володимирівна,08078e5f-1786-41a3-bd63-b5b50f065c62,Міністерство закордонних справ,Заступник Міністра з питань європейської інтеграції,ministerstvo,,386000,5000,23000,417070,
ЗІНЧУК РОМАН ЯРОСЛАВОВИЧ,94be603d-56b1-41d9-b31d-6d222984d9e5, Жовківське відділення поліції Кам'янка-Бузького відділу поліції головного управління Національної поліції у Львівській області ,слідчий,slidchi,,70000,,,70000,Львів
Золотарьов Олег Михайлович,8fe5c905-c022-44f6-8f1e-eb703f3bc40e,Державна екологічна інспекція Північно-Західного регіону Чорного моря,начальник відділу-старший державний інспектор з охорони навколишнього природного середовища Чорного моря,inspector,90000,33000,,,36461,
Зубко Геннадій Григорович,17ed8768-6d08-4c3c-a5f5-774308e046db,Кабінет Міністров України,"Віце-премьєр-міністр України, Міністр регіонального розвитку, будівництва та житлово-комунального господарства",ministerstvo,2132018,290700,,,372700,
Зуєва Лариса Євгеніївна,eba12b43-4565-4752-aa77-0624e38c67e5,Одеський апеляційний адміністративний суд,суддя ,suddia,36078,184488,,5072,191404,Одеса
Іваненко Сергій Анатолійович,04c73df9-5d01-4b75-a0c3-509fa8fb0bbb,Полтавський окружний адміністративний суд,суддя,suddia,3500000,25000,,,159615,Полтава
Іванчов Сергій Йосипович,bb7f33bd-6b4c-4564-bee2-5cc3e8e594d1,Міністерство закордонних справ України,заступник начальника відділу ,ministerstvo,7626,88453,,19029,109487,
Іванчук Андрій Володимирович,352f6d36-8574-4607-a4bd-ad7c6dba9d78,Верховна Рада України,"Народний депутат України, Голова Комітету з питань економічної політики",deputat,3740000,500000,,600000,1297846,
Іванюк Михайло Миколайович,606183d3-0065-494d-97e6-6a83f421c298,Державна фіскальна служба України. Департамент адміністрування митних платежів та митно-тарифного регулювання ,директор Департаменту,ministerstvo,4425785,47000,,,217222,
Івасюк Ігор Дмитрович,ae52769a-08ba-42b0-baf1-966c919cdc40,Вінницька обласна державна адміністрація,заступник голови - директор Департаменту освіти і науки Вінницької обласної державної адміністрації,golova,1248625,55012,,40000,146636,Вінниця
Івахів Степан Петрович,286496db-af90-4149-a7be-681bbd788821,Верховна Рада України,Народний депутат України,deputat,16806803,1178428,,1601393,3570361,
Ілаш Олександр Миколайович,931e2dbd-bf51-40a9-a555-51aa212a1627,Державна фінансова інспекція в Хмельницькій області,Начальник відділу інспектування у сфері матеріального виробництва та послуг,inspector,570000,,,,21923,Хмельницький
Ілик Роман Романович,f1e679b0-7fff-480f-a7a2-aaec8ceaef68,Міністерство охорони здоров'я України,заступник Міністра,ministerstvo,3800000,,,,146153,
Ільюк Артем Олександрович,e177cd6b-9b99-4acf-a33b-b52228e53de9,Верховна Рада України,Народний депутат України,deputat,,721000,,173000,909570,
Іоффе Юлій Якович,1c0c15de-7540-4d26-be89-ee1e056fbe6d,Верховна рада України ,"Народний депутат України, член комітету з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",deputat,965867,1083925,,,1121073,
Ісаєвська Олена Володимирівна,1de188ee-70dd-4f79-8e59-6746a6614ed2,Печерський районний суд м. Києва,суддя,suddia,38116,404579,,,406045,
Ісаєнко Юлія Анатоліївна,60973782-f229-47fa-ac1b-40041ba8934f,Київський апеляційний адміністративний суд,суддя,suddia,,124000,,,124000,Київ
Іщейкін Костянтин Євгенович,2ebb60bc-43b1-47fd-b820-f9ab43e1882d,Верховна Рада України,Народний депутат України,deputat,7217723,280000,,55000,617554,
Іщенко Валерій Олександрович,9e5f11fe-6eaf-4630-b917-13a6de430db1,Верховна Рада України,Народний депутат України,deputat,2000000,511012,,100601,697590,
Кавилін Олексій Анатолійович,9e5eb6dd-141f-46dd-a0d5-f843e6c237ea,Головне управління ДФС у Запорізькій області,Начальник Головного управління ДФС у Запорізькій області,,3250000,180000,,160000,479400,Запоріжжя
Кавун Юрій Данилович,c456be52-fa96-4abf-abe3-4d2846d8604e,Дежавна екологічна інспекція Північно - Західного регіону Чорного моря,перший заступник начальника,inspector,,25000,,,25000,
Казанцев Сергій Анатолійович,2d00fd2d-ed42-41a5-91d2-07f12b5bc915,Прокуратура Дніпропетровської області ,відділу нагляду за додержанням законів органами фіскальної служби управління нагляду за додержанням законів у кримінальному провадженні та координації правоохоронної діяльності,prokuratura,3530000,,,,135769,Дніпропетровськ
Капустін Олександр Вікторович,927c367c-7f04-4039-b11c-97e996f4f1e1,Міністерство закордонних справ України,начальник відділу,ministerstvo,,,,280000,305200,
Капцова Тетяна Петрівна,8fd6652b-7e2a-40d2-bee9-d029d8798931,Господарський суд міста Києва,суддя,suddia,3577391,96000,,10600,245145,
Каретко Володимир Олександрович,b7939e0b-29d2-4f6e-a577-fd1f79a093df,Святошинська районна в місті Києві державна адміністрація,голова Святошинської районної в місті Києві державної адміністрації,golova,7196008,70000,,,346769,
Карєєв Олександр Михайлович,5f29f8e8-62c9-40e8-be2d-6b00b4ac97ad,Національне антикорупційне бюро України,Заступник Керівника Другого підрозділу детективів Головного підрозділу детективів ,slidchi,51446,45500,,2300,49985,
Карман Василь Васильович,88c1e46a-1cd9-4fdf-bbb8-4d7c6de0a8b7,прокуратура Харківської області,прокурор відділу,prokuratura,161000,103203,,21507,132837,Харків
Карман Вікторія Василівна,146b4b06-70a4-49b5-bca1-878ea3123d22,Генеральна прокуратура України,прокурор відділу,prokuratura,161000,103203,,21507,132837,
Карпенко Людмила Василівна,463d9185-8f0b-4b7e-ab2b-28a79b2eeb41,"Вищий господарський суд України, правове управління",Начальник правового управління,suddia,3740878,,,,143879,
Карплюк Володимир Андрійович,863b8409-783a-40de-b2fd-8c95b2f7ec5e,Ірпінська міська рада,Ірпінський міський голова,golova,14307052,400000,,46542,1001002,
Каспрук Юрій Валерійович,16866234-eebd-4e26-9071-2081e76d6949,Франківське відділення Залізничної об'єднаної державної податкової інспекції ГУ ДФС у Львівській області,Завідувач сектору податків і зборів з фізичних осіб,inspector,127017,40000,,,44885,Івано-Франківськ
Кацуба Володимир Михайлович,7b4c6ca8-5b7b-4e59-b7c7-88a6ce574d3e,Верховна Рада України,Народний депутат України,deputat,2272693,835061,,105000,1036922,
Квурт Володимир Леонідович,e07c8f7c-0606-4f6f-b26e-a8b70fcf6483,Винниківська міська рада,міський голова,golova,3999,300000,,690,300905,
Кернес Геннадій Адольфович,0ccd8c43-49df-4dea-9617-7a571e680154,Харківська міська рада,Харківський міський голова,golova,43057228,906,,,1656953,Харків
Кирилюк Андрій Ігорович,2616d1ad-97f3-4a82-8452-f03c42da1919,Залізничний районний суд м. Львова,Суддя,suddia,,125000,,,125000,Львів
Кисельов Ігор Олександрович,f29fc7e5-f937-4626-b06a-3b55a3c4e1c9,Попаснянський ВП ГУНП в Луганській області,начальник відділення поліції №1 (м. Гірське),slidchi,,29000,,,29000,Луганськ
Кисельов Олег Анатолійович,35837fcc-1c33-45b5-b51e-a196a5d47ca7,Головне управління Національної поліції у м. Києві,начальник відділу розслідування злочинів у сфері господарської та службової діяльності слідчого управління,slidchi,250000,35000,,,44615,
Кислий Віталій Вікторович,8b71243e-88c8-4f82-af28-f9e227d8974d,Генеральна прокуратура України,старший слідчий в особливо важливих справах Головного слідчого управління (на правах департаменту) ,prokuratura,18000,82700,,5500,89387,
Ківалов Сергій Васильович,b3c67bde-7a0c-4315-95c8-0728392d08c6,Верховна Рада України,народний депутат України,deputat,224542,2563821,,68005,2646582,
Кіра Галина Петрівна,6b1646ba-306f-4328-8dbc-6eec015bd8f1,Прокуратура Львівської області,начальник відділу,prokuratura,2500000,,,,96153,Львів
Кірієнко Тетяна Павлівна,c0d63805-c8a7-4a20-aeeb-37578922df3d,ДПІ у Святошинському районі ГУ ДФС у м. Києві,заступник начальника інспекції,inspector,,31438,,,31438,
Кісельов Андрій Миколайович,7815fb0d-d669-4c8d-8b56-7f4564aabc33,Верховна Рада України,Народний депутат України,deputat,1603473,950000,,,1011672,
Кісера Лілія Ігорівна,20a077e6-475c-48a6-8940-469ba4f5a408,Саксаганський районний суд міста Кривий Ріг Дніпропетровської області,суддя Саксаганського районного суду міста Кривий Ріг Дніпропетровської області,suddia,2100000,110500,,28000,221789,Дніпропетровськ
КІСЛЕЙКО ЮРІЙ ВАЛЕРІЙОВИЧ,42f7eba3-986b-4589-bbf2-b3ee20990aee,департамент споживчого ринку та сфери послуг Дніпропетровської міської ради,начальник управління з питань захисту прав споживачів,,1000000,420000,,,458461,Дніпропетровськ
Кіссе Антон Іванович,4f30b5d5-7da4-4f04-b25b-97aa3d294454, Верховна Рада України,Народний депутат України,deputat,3100000,1000000,,130000,1260930,
Кіссе Антон Іванович,088dfa99-ae24-453d-be48-9f7c636006c0,Управління справами Верховної ради Украині,Народний депутат України,deputat,3100000,1000000,,130000,1260930,
Клименко Юлія Леонідівна,f30b8e5e-d5d1-48d4-b4a0-3fc67cb0b97a,Міністерство економічного розвитку та торгівлі,Заступник міністра-керівник апарату,ministerstvo,10602,233242,,90000,331749,
КЛИМОВСЬКИЙ ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ,6db36e93-0cd1-40f2-873c-5576282d401b,Білоцерківський ВП ГУНП в Київській області,заступник начальника відділу поліції - начальник слідчого відділу,slidchi,,30000,,10000,40900,Київ
Климпуш-Цинцадзе Іванна Орестівна,8dd6b83a-826b-47b7-ad93-c8cdfc266789,Кабінет Міністрів України,Віце-прем'єр-міністр з питань європейської та євроатлантичної інтеграції України,ministerstvo,,124338,,30000,157038,
Кличко Віталій Володимирович,e59ba372-a6aa-400a-b1be-ba0c2ba70d8a,Апарат виконавчого органу Київської міської ради (Київської міської державної адміністрації),Київський міський голова,golova,5534,954764,,8558033,10283232,Київ
Клімкін Павло Анатолійович,afdb5166-3907-4369-aa6b-b39c8cc304da,Міністерство закордонних справ України,Міністр,ministerstvo,,101000,,92000,201280,
Клочко Микола Олексійович,67d003b8-051a-487f-beba-a65dc79229fb,Сумська обласна державна адміністрація,Голова Сумської обласної державної адміністрації,golova,336842,249000,,37000,302285,Суми
Княжицький Микола Леонідович,34df9f84-11ad-4a5a-bfb5-4772a76857de,Верховна Рада України,"народний депутат України, Голова Комітету Верховної Ради України з питань культури і духовності",deputat,4203311,1020000,,813,1182551,
Кобцев Михайло Валентинович,3e1791d5-57ad-4003-9dcf-7e7eebc41f08,Верховна рада України,Народний депутат України,deputat,,1400000,,,1400000,
Ковалевський Вадим Вікторович,ce705e6c-96e4-4f88-a0b6-56fba46bb8ab,Міністерство закордонних справ України,в.о.заступника Директора Департаменту - начальник відділу,ministerstvo,48000,20500,,145000,180396,
Ковалів Юлія Ігорівна,b481121f-ec1d-4125-9e4b-9247f2e37a43,Міністерство економічного розвитку і торгівлі України,Перший заступник Міністра економічного розвитку і торгівлі України,ministerstvo,53081,180516,,8,182566,
Ковалів Ярема Богданович,2ac19c09-c3bf-4af8-8435-e11bfe26454e,Державне агентство рибного господарства України,Голова,golova,53081,180516,,8,182566,
Коваль Людмила Іванівна,da463e02-cc8b-4809-9326-885b862a8cda,Державна інспекція України з контролю за цінами,завідувач сектору в Миколаївській області Державної інпекції України з контролю за цінами,inspector,200000,70000,,,77692,Миколаїв
КОВАЛЬ ТЕТЯНА МИКОЛАЇВНА,4cee5efc-82ad-4c0b-be7e-d4ebd2bfb245,ГУНВП в Одеській області Малиновський ВП ,інспектор криміналіст,inspector,250000,145000,,,154615,Одеса
Ковальова Олена Вікторівна,16e0f89e-70da-4f10-8646-d374bbc7ea0b,Міністерство аграрної політики та продовольства України,Заступник Міністра аграрної політики та продовольства України,ministerstvo,13500,120000,,,120519,
Ковальчук Андрій Миколайович,0776f9ec-28ef-4669-8cd5-50c25418f7c1,Головне управління Державної міграційної служби України в місті Києві,заступник начальника управління-начальник відділу з питань шукачів захисту,,981022,490000,,,527731,
Ковальчук Віталій Анатолійович,689603f7-b9a8-4883-b0ec-55203f88ef93,Адміністрація Президента України,Перший заступник Глави Адміністрації Президента України,,2302977,307947,,212000,627603,
КОВАЛЬЧУК ТЕТЯНА ІВАНІВНА,f2dab77a-a81f-4dcc-a701-6911cddf7dc2,Міністерство внутрішніх справ України,Заступник Міністра ,ministerstvo,,95000,,,95000,
Козак Василь Васильович,eb0491f5-c7bc-4fc3-ac71-7a8dda044c06,Сокирянська районна рада,Голова Сокирянської районної ради,golova,577256,95000,,78000,202222,
Козак Тарас Романович,c26169a4-4cce-44ad-91a0-b4288aad5aff,Верховна Рада України,Народний депутат України,deputat,155086,910147,,5078,921646,
Козаченко Тетяна Анатоліївна,680ca542-4d3f-45af-95c0-d85b41188ab8,Міністерство юстиції України,Директор департаменту з питань люстрації,ministerstvo,4777495,14000,,9840,208475,
Козир Борис Юрійович,d6a10ff1-eb2f-41ac-a717-6edd3513be7e,Верховна рада України,"Народний депутат України, заступник голови Комітету ВРУ з питань транспорту",deputat,2935034,795000,,115000,1033235,
Козулько Тарас Вікторович,1aba8022-95f1-4845-850e-e152d64c8027,Державна інспекція ядерного регулювання України,завідувач Сектору інформаційно-аналітичного забезпечення та зв'язків з громадськістю,inspector,,24000,,5100,29559,
