name,office,position,professionGroup,uah,usd,gbp,eur,total,region
Денисенко Вадим Ігорович,Верховна рада України,Народний депутат України,deputat,12305,172000,,53000,230243,
Денисов Едуард Маратович,Верховна Рада України,Заступник керуючого справами Апарату ВРУ,deputat,840000,361590,,,393897,
Денисюк Денис Станіславович,Спеціалізована державна податкова інспекция з обслуговування великіх платніків у м. Одесі МГУ ДФС,Заступник начальника,inspector,2112578,227,,7437,89586,Одеса
Денисюк Тетяна Станиславівна,Господарський суд Харківської області,Суддя,suddia,2662631,300150,,100,402667,Харків
Денісова Людмила Леонтіївна,Верховна Рада України,народний депутат України,deputat,1707414,62000,,,127669,
Дергунов Володимир Анатолійович,Генеральна прокуратура України,прокурор відділу,prokuratura,825000,,,,31730,
Дерев’янко Юрій Богданович,Верховна Рада України,"Народний депутат України, Голова підкомітету",deputat,3741687,14447000,,1583000,16316381,
Дереш Віктор Васильович,Генеральна прокуратура України,начальник відділу прийому громадян управління організації прийому громадян розгляду звернень та запитів,prokuratura,1100000,,,,42307,
Деркач Андрій Леонідович,Верховна Рада України,Народний депутат України,deputat,7175449,,,,275978,
Дєєв Андрій Вікторович,Запорізька місцева прокуратура №3 Запорізької області,Прокурор ,prokuratura,429332,19981,,,36493,Запоріжжя
Джабурія Олександр Валентинович,Одеський апеляційний адміністративний суд,"заступник голови Одеського апеляційного адміністративного суду, суддя",suddia,641936,21000,,11200,57897,Одеса
Джапарова Еміне Айяровна,Міністерство інформаційної політики України,Перший заступник Міністра,ministerstvo,,172450,,,172450,
Джарти Вікторія Василівна,Господарський суд міста Києва ,суддя,suddia,4062313,816727,,249427,1244845,
Джемілєв Мустафа ,Верховна Рада України,"Народний депутат України, Голова підкомітету з питань етнополітики, прав корінних народів та національних меншин України, жертв політичних репресій Комітету Верховної Ради України з питань прав людини, національних меншин і міжнаціональних відносин",deputat,2612065,20000,,20000,142264,
Джихур Олена Василівна,Дніпропетровський апеляційний господарський суд,Суддя,suddia,262112,36150,,,46231,Дніпропетровськ
Джунь Інга Владиславівна,Сєвєродонецька місцева прокуратура Луганської області,прокурор,prokuratura,167000,58820,,,65243,Донецьк
Дзензерський Денис Вікторович,Верховна Рада України,народний депутат України,deputat,1119892,25000,,,68072,
Дзюба Олег Анатолійович,Господарський суд Харківської області,суддя,suddia,,35000,,,35000,Харків
Дзюбін В'ячеслав Вікторович,Апеляційний суд міста Києва,Суддя,suddia,800000,15000,,,45769,
Дзюблик Павло Володимирович,Верховна Рада України,Народний депутат України,deputat,20637,55000,,107,55910,
Диба Михайло Іванович,Державна фінансова інспекція у Львівській області,Начальник Державної фінансової інспекції у Львівській області,inspector,950000,,,,36538,Львів
Дикий Геннадій Анатолійович,виконавчий комітет Білоцерківської міської Ради,міський голова,golova,1300000,,,,50000,
Дичко Сергій Миколайович,Військова прокуратура Дніпропетровського гарнізону Південного регіону України,Заступник прокурора,prokuratura,97900,41400,,17500,64240,Дніпропетровськ
Діденко Антон Андрійович,військова прокуратура Луганського гарнізону,прокурор військової прокуратури Луганського гарнізону,prokuratura,200000,30000,,,37692,Луганськ
Діденко Ігор Миколайович,Міністерство енергетики та вугільної промисловості України,Заступник Міністра енергетики та вугільної промисловості України,ministerstvo,8240325,6990000,,1005000,8402385,
Діденко Сергій Олексійович,Міністерство фінансів України,заступник директора Департаменту видатків бюджету соціальної сфери,ministerstvo,1044846,,,,40186,
Дідич Валентин Володимирович,Верховна Рада України,Народний депутат України,deputat,650000,100000,,25000,152250,
Дідич Володимир Євгенович,Тернопільська міська рада,заступник міського голови з питань діяльності виконавчих органів ради,golova,1468841,35000,,15000,107843,Тернопіль
Дідиченко Марина Анатоліївна,Київський апеляційний господарський суд,суддя,suddia,150000,37000,,,42769,Київ
Дімчогло Юрій Дмитрович,Одеська обласна рада,заступник голови,golova,351129,70000,,,83504,Одеса
Дмитренко Інна Леонідівна,Секретаріат Кабінету Міністрів України,заступник директора Департаменту з питань фінансової політики,ministerstvo,1524034,,,,58616,
Дмитренко Олег Миколайович,Верховна Рада України,народний депутат України,deputat,1850000,,,,71153,
Дмитренко Юлія Володимирівна,прокуратура міста Києва ,прокурор другого відділу процесуального керівництва у криімнальних провадженнях слідчих регіональної прокуратури прокуратури міста Києва,prokuratura,877500,,,,33750,
Дмитрієв Анатолій Анатолійович,національна поліція України,радник Голови Національної поліції України управління забезпечення діяльності Голови Національної поліції України,slidchi,1067640,,,,41063,
Дмитрієв Костянтин Геннадійович,Прокуратура Одеської області,"прокурор відділу організації представництва на захист інтересів громадянина або держави управління представництва, захусту інтересів громадян та держави в суді прокуратури Одеської області",prokuratura,325000,30000,,,42500,Одеса
Добкін Дмитро Маркович,Верховна Рада України,Народний депутат України,deputat,10163054,520454,,,911340,
Добкін Михайло Маркович,Верховна Рада України,Народний депутат України,deputat,12000000,1070000,,850000,2458038,
Добреля Наталя Сергіївна,Господарський суд Харківської області,суддя,suddia,,35000,,,35000,Харків
Добровольська Катерина Ігорівна,Генеральна прокуратура України,Прокурор відділу Генеральної прокуратури України,prokuratura,61630,23000,,3000,28640,
Добродомов Дмитро Євгенович,Верховна Рада України,народний депутат України,deputat,211039,20600,,14106,44092,
Доброжан Андрій Іванович,Прокуратура Одеської області,прокурор відділу нагляду за додержанням законів теторіальними органами поліції при провадженні досудового розслідування та підтриманням державного обвинувачення управління нагляду у кримінальному провадженні прокуратури Одеської області,prokuratura,,400000,,,400000,Одеса
Довбенко Михайло Володимирович,Верховна Рада України,"Народний депутат України, Перший заступник Голови Комітету з питань фінансової політики і банківської діяльності",deputat,1183414,328136,,,373651,
Довгаль Анна Петрівна,Апеляційний суд Харківської області,суддя,suddia,85000,15000,,9000,28079,Харків
Довгань Віктор Миколайович,заступник Міністра інфраструктури з питань європейської інтеграції,заступник Міністра інфраструктури з питань європейської інтеграції,ministerstvo,505924,85340,,15000,121148,
Довгань Віталій Миколайович,Прокуратура Хмельницької області,начальник відділу прокуратури Хмельницької області,prokuratura,513,24822,,,24841,Хмельницький
Довгий Олесь Станіславович,Верховна рада України,Народний депутат України,deputat,15649502,1529508,35000,582642,2808491,
Довгодько Валентина Дмитрівна,Міністерство молоді та спорту України,Начальник відділу спортивно-технічних та прикладних видів спорту,ministerstvo,,30000,,,30000,
Долгов Ігор Олексійович,Міністерство оборони України,Заступник Міністра оборони України з питань європейської інтеграції,ministerstvo,200000,95005,,32000,137577,
Долженков Олександр Валерійович,Верховна Рада України,народний депутат України,deputat,,60000,,,60000,
Доманська Марина Леонідівна,Київський апеляційний господарський суд,суддя,suddia,82388,27000,,1350,31640,Київ
Домбровський Олександр Георгійович,Верховна Рада України,народний депутат України,deputat,855446,450000,,100000,591901,
ДОМНІЦАК РУСЛАН ВОЛОДИМИРОВИЧ,Головне управління Національної поліції у Львівській області,заступник начальника -начальник кримінальної поліції,slidchi,782000,10000,,,40076,Львів
Донець Тетяна Анатоліївна,Верховна Рада України,"Народний депутат України, заступник голови Комітету з питань охорони здоров""я",deputat,750965,4537245,,212339,4797577,
Дончик Віталій Володимирович,Вінницький окружний адміністративний суд,суддя,suddia,,32500,,,32500,Вінниця
Допіряк Петро Васильович,Хотинська районна державна адміністрація Чернівецької області,Голова Хотинської районної державної адміністрації Чернівецької області,golova,800000,640000,,122500,804294,Чернівці
Дорошенко Геннадій Володимирович,Сумська районна державна адміністація Сумської області,Голова Сумської районної державної адміністації Сумської області,,3180000,497000,,,619307,Суми
Доценко Тетяна Анатоліївна,ДПІ в Оболонському районі ГУ ДФС у м. Києві ,заступник начальника інспекції,inspector,30646,143000,,,144178,
Драган Олена Василівна,Генеральна прокуратура України,Заступник начальника Департаменту ,prokuratura,180000,150000,,10000,167823,
Драюк Сергій Євсейович,Верховна Рада України,Народний депутат України,deputat,1985019,,,,76346,
Дрогомирецька Любов Степанівна,Прокуратура Київської області ,Прокурор відділу ,prokuratura,,30000,,,30000,Київ
Дроздик Олександр Валерійович,Верховна Рада України,"Народний депутат України, Голова підкомітету з питань регулювання трудових відносин та зайнятості населення Комітету Верховної Ради України з питань соціальної політики, зайнятості та пенсійного забезпечення",deputat,185000,18000,,4000,29475,
Дроздов Олександр Іванович,Міністерство внутрішніх справ. Відділ аналізу діяльності та координації управління формування політики щодо діяльності Національної поліції Департаменту формування політики щодо підконтрольних Міністрові органів влади та моніторингу МВС,Заступник начальника відділу,ministerstvo,210454,77000,,12000,98174,
ДРОЗДОВА НАТАЛІЯ ВІКТОРІВНА,Голосіївський районний суд міста Києва,суддя,suddia,250000,30000,,,39615,
Дружинін Костянтин Михайлович,Красногвардійський районний суд м. Дніпропетровська,суддя,suddia,,71000,,,71000,Дніпропетровськ
Друк Христина Мирославівна,"Господарський суд Львівської області, відділ управління персоналом та проходження державної служби",заступник начальника відділу,suddia,,56248,,,56248,Львів
Дубас Віктор Анатолійович,Дарницький районний суд міста Києва,Суддя,suddia,100000,26152,,,29998,
Дубенко Ніла Василівна,Міністерство енергетики та вугільної промисловості України,директор Департаменту внутрішнього аудиту,ministerstvo,500000,10000,,,29230,
Дубіжанська Тетяна Олександрівна,Красногвардійський районний суд м. Дніпропетровська,"заступник голови суду, суддя",suddia,,31000,,2000,33180,Дніпропетровськ
Дубіль Валерій Олександрович,Верховна Рада України,народний депутат України,deputat,160000,210000,,295000,537703,
Дубінін Ігор Юрійович,господарський суд Дніпропетровської області,суддя,suddia,350000,24000,,,37461,Дніпропетровськ
Дубінін Олександр Іванович,Верховна Рада України,"Народний депутат України, Голова підкомітету з питань промислової та інвестиційної політики Комітету Верховної Ради України з питань промислової політики та підприємництва ",deputat,14709210,,,,565738,
ДУБНЕВИЧ БОГДАН ВАСИЛЬОВИЧ,Верховна Рада України,Народний депутат України,deputat,130274,17307008,,,17312018,
ДУБНЕВИЧ ЯРОСЛАВ ВАСИЛЬОВИЧ,Верховна рада України,народний депутат України,deputat,7792693,8960000,,3060000,12595118,
Дубровін Ігор Дмитрович,Міністерство внутрішніх справ України,заступник начальника відділу,ministerstvo,,30000,,,30000,
Дудко Євгеній Вікторович,Прокуратура міста Києва,Прокурор відділу нагляду за додержанням законів органами СБУ та державної прикордонної служби управління нагляду у кримінальному провадженні,prokuratura,,50000,,,50000,
Дуднік Людмила Олександрівна,Міністерство інфраструктури України,заступник директора департаменту - начальник відділу договірної работи та орендних відносин департаменту управління об'єктами державної власності,ministerstvo,,60000,,,60000,
Дудніченко Володимир Михайлович,Звенигородський районний суд Черкаської області,голова суду,suddia,497463,26133,,,45266,Черкаси
Дужич Сергій Порфирійович,Рівненський апеляційний господарський суд,суддя,suddia,,25000,,,25000,Рівне
Дузінкевич Іван Миколайович,Тисменицький районний суд Івано-Франківської області,Голова суду,suddia,777407,,,,29900,Івано-Франківськ
Дупляк Олеся Михайлівна,Господарський суд міста Києва,Суддя,suddia,,56500,,,56500,
Дуран Іван Петрович,Закарпатська обласна державна адміністрація,Перший заступник голови Закарпатської обласної державної адміністрації ,golova,,,,400000,436000,Закарпаття
Дуран Сергій Сергійович,Закарпатська митниця ДФС,заступник начальника управління матеріального забезпечення та розвитку інфраструктури,,,250000,,140000,402600,Закарпаття
Дутковська Юлія Володимирівна,Львівська місцева прокуратура №1,прокурор Львівської місцевої прокуратури №1,prokuratura,,56000,,,56000,Львів
Дутковський Адріан Юрійович,прокуратура Чернівецької області,заступник прокурора Чернівецької області,prokuratura,,56000,,,56000,Чернівці
Дух Ярослав Михайлович,Національне антикорупційне бюро України,детектив,slidchi,200000,21000,,2600,31526,
Дьомін Олександр Леонідович,Ленінський районний суд м. Дніпропетровська,Голова суду,suddia,,60000,,,60000,Дніпропетровськ
Дьоміна Ольга Олександрівна,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,577000,2000,,,24192,
Дьяченко Олена Юріївна,Міністерство енергетики та вугільної промисловості,Директор депратаменту економіки та фінансів,ministerstvo,,50000,,,50000,
Дядечко Іван Іванович,Крюківський районний суд м. Кременчука,голова суду,suddia,280000,21500,,,32269,
Дякович Віктор Петрович,Львівський апеляційний адміністративний суд,суддя,suddia,11723,30388,,1107,32045,Львів
Дячук Сергій Іванович,Святошинський районний суд міста Києва ,заступник голови Святошинського районного суду міста Києва,suddia,405000,70690,,10090,97265,
Ейвазова Аіда Рафіківна,Господарський суд Київської області,суддя,suddia,739040,20100,,,48524,Київ
Епель Оксана Володимирівна,Київський апеляційний адміністративний суд,Суддя,suddia,1814431,329644,1,,399431,Київ
Євграфова Єлизавета Павлівна,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,,96500,,,96500,
Євлахов Анатолій Сергійович,Верховна Рада України,народний депутат України,deputat,1726227,1025789,,461000,1594672,
Євсіков Олексій Олександрович,Вищий господарський суд України,суддя,suddia,4171620,30000,,5000,195896,
Євстигнеєв Олександр Сергійович,Дніпропетровський апеляційний господарський суд,"суддя, голова суду",golova,413159,31920,2071,16020,67757,Дніпропетровськ
Євтушок Сергій Миколайович,Верховна Рада УКраїни,народний депутат України,deputat,,65000,,,65000,
Єгізаров Роман Альбертович,Національне антикорупційне бюро України,старший детектив - заступник керівника відділу,slidchi,445577,4000,,3000,24407,
Єгупенко Владислав Вадимович,Харківський окружний адміністративний суд,суддя,suddia,993186,102862,,1,141062,Харків
Єзерський Дмитро Олександрович,ГУ ДФС у м. Києві ,слідчий ,slidchi,,53000,,,53000,
Єкасьова Оксана Володимирівна,Міністерство доходів і зборів України (станом на 31.12.2015р),"Начальник управління місцевих податків і зборів, плати за землю (станом на 31.12.2015р.)",ministerstvo,273010,62000,,6000,79040,
Єленський Віктор Євгенович,Верховна Рада України,народний депутат,deputat,1000600,9800,,3635,52246,
Єлісєєва Марина Яківна,Сєвєродонецька місцева прокуратура Луганської області,прокурор,prokuratura,330000,30000,,1500,44327,Донецьк
Ємельянов Артур Станіславович,Вищий господарський суд України,суддя,suddia,2740000,180000,,70000,361684,
Ємельянова Ольга Олександрівна,Господарський суд Харківської області,суддя,suddia,80000,26000,,,29076,Харків
Ємець Леонід Олександрович,Верховна Рада України,народний депутат,deputat,302945,88900,,,100551,
Єнін Євгеній Володимирович,Генеральна прокуратура України,Заступник Генерального прокурора,prokuratura,42897,92000,,127000,232079,
Єпіфанов Олександр Володимирович,Міністерство культури України,Начальник управління охорони культурної спадщини,ministerstvo,,42500,,,42500,
Єремейчук Микола Георгійович,Кіцманська місцева прокуратура Чернівецької області ,прокурор Кіцманської місцевої прокуратури Чернівецької області,prokuratura,,75000,,,75000,Чернівці
Єременко Анна Валеріївна,господарський суд Дніпропетровської області,суддя,suddia,880000,,,,33846,Дніпропетровськ
Єреп Олексій Григорович,Управління привентивної діяльності ГУ НП в Київській області,Начальник відділу ЗБДР,,,481900,,,481900,Київ
Єрмоленко Дмитро Дмитрович,прокурор Іллічівської місцевої прокуратури Одеської області,прокурор Іллічівської місцевої прокуратури Одеської області,prokuratura,2700000,85000,,,188846,Одеса
Єфіменко Наталія Вікторівна,Київський районний суд м.Харкова ,суддя ,suddia,13407,45000,,5000,50965,Київ
Єфіменко Сергій Миколайович,Державна фінансова інспекція в м. Києві,Начальник,inspector,800000,105321,,25357,163729,
Єфімов Максим Вікторович,Верховна Рада,Народний депутат України,deputat,12226294,5000000,,,5470242,
Єфремова Ірина Олексіївна,Верховна Рада України,Народний депутат україни,deputat,130000,32000,,,37000,
Жданкін Володимир Васильович,апеляційний суд Вінницької області,суддя,suddia,108000,22508,,,26661,Вінниця
Жданов Ігор Олександрович,Міністерство молоді та спорту України,Міністр молоді та спорту України,ministerstvo,,60000,,,60000,
Жебрівський Павло Іванович,"Донецька обласна державна адміністрація, обласна військово-цивільна адміністрація","голова Донецької облдержадміністрації, керівник обласної військово-цивільної адміністрації",golova,,100000,,65000,170850,Донецьк
Жеваго Костянтин Валентинович,Верховна Рада України,Народний депутат України,deputat,,60000,,,60000,
Жевнєрова Наталія Вікторівна,Шацький районний суд Волинської області,Суддя Шацького районного суду Волинської області,suddia,,30000,,,30000,Луцьк
Железняк Михайло Олександрович,слідчий відділ прокуратури Запорізької області,слідчий в особливо важливих справах,prokuratura,750000,,,,28846,Запоріжжя
Желепа Оксана Василівна,Апеляційний суд міста Києва,суддя,suddia,384554,38045,,,52835,
Желік Борис Євграфович,Господарський суд Чернівецької області,Суддя,suddia,,20000,,10000,30900,Чернівці
Желтобрюх Ірина Леонтіївна,Київський апеляційний адміністративний суд,суддя,suddia,215000,27000,,,35269,Київ
Жеманюк Андрій Павлович,Секретаріат Кабінету Міністрів,завідуючий сектором,ministerstvo,1109422,35000,,,77670,
Жербицький Володимир Геннадійович,Генеральна прокуратура України (відярджений Міністерством оборони України),Перший заступник Головного військового прокурора ,ministerstvo,375000,33800,,,48223,
Жерьобкін Валентин Дмитрович,прокуратура Сумської області ,начальник відділу інформаційних технологій ,prokuratura,480778,22000,,15000,56841,Суми
Жерьобкіна Євгенія Анатоліївна,Господарський суд Сумської області,суддя,suddia,480778,22000,,15000,56841,Суми
Животов Геннадій Олексійович,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,220000,15000,,3000,26731,
Житник Дмитро Сергійович,Обухівський відділ Києво-Святошинської місцевої прокуратури Київської області,Начальник Обухівського відділу Києво-Святошинської місцевої прокуратури Київської області,prokuratura,,24000,,,24000,Київ
Жовнір Григорій Богданович,Личаківський районний суд м. Львова,суддя,suddia,582052,5000,,,27386,Львів
Жоган Роман Анатолійович,Прокуратура міста Києва,Перший заступник керівника Київської місцевої прокуратури № 8,prokuratura,4911,62000,,,62188,Київ
Жолобецький Олександр Олександрович,Верховна Рада України,Народний депутат України,deputat,,180000,,,180000,
Жук Ольга Володимирівна,Апеляційний суд міста Києва,суддя,suddia,,94100,,,94100,
Журавель Валентина Іванівна,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,286217,20509,,,31517,
Журавель Валерій Олександрович,Київський окружний адміністративний суд,суддя,suddia,286217,20509,,,31517,Київ
Журавко Віктор Миколайович,Департамент державної виконавчої служби Міністерства юстиції України ,заступник начальника відділу контролю Управління контролю за діяльністю органів Державної виконавчої служби Департаменту державної виконавчої служби Міністерства юстиції України,ministerstvo,400000,40000,,,55384,
Журавський Віталій Станіславович,Інститут законодавства Верховної Ради України,Завідувач відділу комлексних проблем державотворення ,,,989780,,8740,999306,
Жученко Олег Дем'янович,Прокуратура Одеської області,Прокурор області,prokuratura,350000,11000,,,24461,Одеса
Забара Володимир Ілліч,Чернігівська митниця ДФС,Заступник начальника митного поста ,,18916,480055,,,480782,
Забарющий Михайло Іванович,господарський суд Дніпропетровської області,суддя,suddia,785930,,,,30228,Дніпропетровськ
Заблоцький Юрій Павлович,Міністерство внутрішніх справ,Заступник начальника відділу ,ministerstvo,12826,32500,,61933,100500,
Заболотний Геннадій Вадимович,Березівська районна державна адміністрація Одеської області,голова районної державної адміністрації,golova,1631384,,,,62745,Одеса
Заболоцький Ігор Олександрович,Секретаріат Кабінету Міністрів України,"заступник директора департамента інформаційних технологій, завідуючий відділом з питань інформаційної безпеки та розвитку інформаційного суспільства",ministerstvo,,190000,,,190000,
Заброцька Людмила Олександрівна,Вінницький окружний адміністративний суд,суддя,suddia,1409,35786,,3077,39194,Вінниця
Зав'язун Сергій Михайлович,Апеляційний суд Житомирської області,суддя,suddia,160493,25000,,,31172,Житомир
Завадецький Олександр Олександрович,Національний банк України,Директор департаменту,,,850067,,,850067,
Завадський Станіслав Іванович,Міністерство оборони України,Начальник відділу попереднього розгляду вхідних документів Департаменту інформаційно-організаційної роботи та контролю,ministerstvo,353925,14978,,,28590,
Загорій Гліб Володимирович,Верховна Рада України,народний депутат України,deputat,60686539,3325000,,550000,6258597,
Загороднюк Андрій Григорович,Вінницький апеляційний адміністративний суд,Суддя,suddia,1240000,50000,,26000,126032,Вінниця
Задоренко Ігор Валентинович,Прокуратура Сумської області,Перший заступник прокурора Сумської області ,prokuratura,710360,15281,,27228,72281,Суми
Задорін Євген Юрійович,Одеська місцева прокуратура №3,прокурор Одеської місцевої прокуратури №3,prokuratura,900000,,,,34615,Одеса
Задорожна Анна Володимирівна,Прокуратура міста Києва,прокурор Київської місцевої прокуратури №8,prokuratura,311040,26000,,46500,88648,Київ
Задорожний Олександр Володимирович,Прокуратура Київської області,"Прокурор відділу нагляду за додержанням законів органами, які ведуть боротьбу з організованою злочинністю управління нагляду у кримінальному провадженні",prokuratura,182304,67005,,54000,132876,Київ
Заєць Світлана Володимирівна,Господарський суд Сумської області,суддя,suddia,490754,1000,,35076,58107,Суми
Заїка Андрій Миколайович,Державна екологічна інспекція України,Голова,inspector,16392202,751996,,343000,1756335,
Заїка Геннадій Михайлович,Бердичівський міськрайонний суд,Голова суду,suddia,,40800,,,40800,
Заїка Наталія Володимирівна,Міністерство закордонних справ України,Заступник директора Департаменту менеджменту персоналу,ministerstvo,6821,52800,,,53062,
Закаблук Олег Володимирович,Білоцерківський міськрайонний суд Київської області ,суддя,suddia,400000,30000,,,45384,Київ
Закернична Ірина Павлівна,прокуратура Одеської області,прокурор відділу,prokuratura,184279,27700,,5500,40782,Одеса
Закерничний Павло Іванович,прокуратура Одеської області,начальник відділу,prokuratura,262279,54000,,5500,70082,Одеса
Закусило Тетяна Геннадіївна,Апарат Верховної Ради України,Завідувач сектору,deputat,134123,30000,,,35158,
Залімський Ігор Геннадійович,Вінницький апеляційний адміністративний суд ,суддя,suddia,116430,39000,,3400,47184,Вінниця
Замкова Яна Василівна,Дніпровський районний суд міста Дніпродзержинська Дніпропетровської області,суддя,suddia,,25000,,,25000,Дніпропетровськ
Заморський Олег Володимирович,Національний банк України,Директор юридичного департаменту,,10590180,96357,,,503671,
Заперченко Віталій Сергійович,Прокуратура Одеської області ,прокурор Одеської місцевої прокуратури № 2,prokuratura,651164,,,,25044,Одеса
Запорожцев Віктор Аркадійович,Головне управління Національної поліції у місті Києві,слідчий,slidchi,900000,,,,34615,
Заришняк Галина Миколаївна,Апеляційний суд міста Києва ,суддя,suddia,205000,39000,,,46884,
Зарудна Олена Володимирівна,Міністерство юстиції України,"Заступник директора департаменту - Начальник управління соціального, трудового та гуманітарного законодавства Департаменту публічного права",ministerstvo,169688,52000,,,58526,
Зархін Дмитро Олександрович,Військова прокуратура сил антитерористичної операції,начальник відділу,prokuratura,,51000,,,51000,
Заставний Роман Йосипович,Верховна Рада України,Народний депутат України,deputat,2850000,267000,,,376615,
Заставний Юрій Богданович,Державна інспекція сільського господарства України,перший заступник Голови,golova,1361000,326257,,,378603,
Захаров Максим Олександрович,Генеральна прокуратура України,начальник управління,prokuratura,1173974,,,,45152,
Захарова Олена Вячеславівна,Луганський окружний адміністративний суд,суддя,suddia,1173974,,,,45152,Луганськ
Заяць Костянтин Дмитрович,Головне управління Національної поліції в Харківській області,старший слідчий ,slidchi,240000,25000,,,34230,Харків
Збарський Андрій Петрович,Дніпропетровська місцева прокуратура №3 Дніпропетровської області,прокурор Дніпропетровської місцевої прокуратури №3 Дніпропетровської області,prokuratura,275000,23500,,,34076,Дніпропетровськ
Звездіна Наталія Леонідівна,Прокуратура Дніпропетровської області,слідчий в особливо важливих справах першого слідчого відділу слідчого управління,prokuratura,305940,35000,,10000,57666,Дніпропетровськ
Звіздовський Ігор Михайлович,Міністерство молоді та спорту України,Керівник патронатної служби,ministerstvo,,90000,,8000,98720,
Звягільський Юхим Леонідович,Верховна Рада України,"Народний депутат України, член Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",deputat,70975435,1590745,,190129,4527810,
Зеленін Вячеслав Олексійович,Київський апеляційний господарський суд,суддя,suddia,550000,53892,,,75045,Київ
Зеленов Андрій Сергійович,Донецький окружний адміністративний суд,суддя,suddia,,35000,,,35000,Донецьк
Зеленський Сергій Володимирович,Лозівська міська рада,Лозівський міський голова,golova,2650000,,,,101923,
Зеліско Руслан Йосипович,Жовківський районний суд Львівської області,суддя Жовківського районного суду Львівської області ,suddia,324742,15000,,10000,38390,Львів
Зеркаль Олена Володимирівна,Міністерство закордонних справ,Заступник Міністра з питань європейської інтеграції,ministerstvo,,386000,5000,23000,417070,
Зінченко Андрій Вікторович,Харківський окружний адміністративний суд,Суддя,suddia,46931,28000,,,29805,Харків
ЗІНЧУК РОМАН ЯРОСЛАВОВИЧ, Жовківське відділення поліції Кам'янка-Бузького відділу поліції головного управління Національної поліції у Львівській області ,слідчий,slidchi,,70000,,,70000,Львів
Зіньковський Олександр Анатолійович,Миколаївський окружний адміністративний суд,суддя,suddia,,30000,,,30000,Миколаїв
